date	dLP	dY	dk	dhours	dLQ_BLS_interpolated	dLQ_Aaronson_Sullivan	dLQ	alpha	dtfp	dutil	dtfp_util	relativePrice	invShare	dtfp_I	dtfp_C	du_invest	du_consumption	dtfp_I_util	dtfp_C_util
1973_Q1	7.51	12.84	5.44	5.33	-0.59		-0.59	0.29	7.89	2.18	5.71	3.67	0.22	10.77	7.10	2.33	2.14	8.44	4.96
1973_Q2	1.22	5.50	5.74	4.28	-0.17		-0.17	0.29	0.92	1.58	-0.66	4.13	0.21	4.16	0.03	0.85	1.78	3.32	-1.75
1973_Q3	-5.57	-3.30	5.71	2.27	0.25		0.25	0.29	-6.75	-0.05	-6.70	7.11	0.21	-1.15	-8.27	-1.23	0.27	0.08	-8.53
1973_Q4	1.59	3.95	5.68	2.36	0.67		0.67	0.29	0.15	-2.38	2.53	7.16	0.21	5.83	-1.33	-3.64	-2.05	9.47	0.72
1974_Q1	-5.69	-5.73	5.27	-0.04	1.08		1.08	0.29	-8.02	-4.71	-3.31	5.64	0.20	-3.54	-9.18	-5.83	-4.42	2.29	-4.75
1974_Q2	1.51	0.73	5.04	-0.78	0.79		0.79	0.30	-0.77	-6.50	5.72	-0.69	0.20	-1.32	-0.63	-7.15	-6.33	5.83	5.70
1974_Q3	-3.46	-5.70	4.24	-2.25	0.49		0.49	0.30	-5.74	-6.53	0.79	-2.38	0.21	-7.62	-5.24	-7.12	-6.37	-0.50	1.13
1974_Q4	3.25	-2.73	4.57	-5.99	0.19		0.19	0.30	-0.06	-4.90	4.83	-3.28	0.20	-2.69	0.59	-5.67	-4.70	2.98	5.29
1975_Q1	5.57	-7.34	3.01	-12.90	-0.10		-0.10	0.30	0.80	-2.11	2.91	-2.21	0.20	-0.97	1.24	-3.18	-1.85	2.21	3.09
1975_Q2	6.66	3.39	2.26	-3.27	-0.17		-0.17	0.31	5.09	0.84	4.25	-5.07	0.20	1.03	6.10	-0.36	1.13	1.39	4.96
1975_Q3	4.11	8.19	2.33	4.08	-0.23		-0.23	0.31	4.81	3.03	1.78	2.95	0.20	7.17	4.22	2.01	3.29	5.15	0.92
1975_Q4	0.74	6.45	2.45	5.71	-0.30		-0.30	0.31	1.95	3.86	-1.90	0.40	0.20	2.28	1.87	3.39	3.98	-1.12	-2.11
1976_Q1	5.65	11.40	3.07	5.75	-0.36		-0.36	0.31	6.73	3.29	3.44	-2.13	0.21	5.04	7.17	3.62	3.21	1.42	3.96
1976_Q2	2.65	3.54	3.33	0.89	-0.26		-0.26	0.31	2.08	1.84	0.24	-0.55	0.21	1.64	2.19	2.94	1.56	-1.30	0.63
1976_Q3	0.12	1.98	3.45	1.86	-0.16		-0.16	0.31	-0.26	0.39	-0.65	0.59	0.21	0.20	-0.38	1.87	0.00	-1.66	-0.38
1976_Q4	2.35	3.22	3.19	0.87	-0.06		-0.06	0.31	1.67	-0.47	2.14	-0.02	0.21	1.66	1.68	0.96	-0.85	0.70	2.53
1977_Q1	1.95	5.93	3.52	3.99	0.05		0.05	0.31	2.06	-0.40	2.46	1.56	0.22	3.28	1.72	0.61	-0.68	2.67	2.40
1977_Q2	0.99	9.87	3.93	8.88	0.11		0.11	0.31	2.44	0.41	2.03	3.18	0.22	4.93	1.75	0.90	0.27	4.03	1.48
1977_Q3	5.15	8.27	4.31	3.12	0.17		0.17	0.31	4.66	1.59	3.08	0.22	0.22	4.83	4.62	1.64	1.57	3.19	3.05
1977_Q4	-4.65	-0.61	3.90	4.04	0.24		0.24	0.31	-4.78	2.56	-7.33	0.02	0.22	-4.76	-4.78	2.47	2.58	-7.23	-7.36
1978_Q1	-1.55	0.47	4.15	2.03	0.30		0.30	0.30	-2.41	2.87	-5.28	4.14	0.22	0.82	-3.32	2.95	2.84	-2.12	-6.16
1978_Q2	7.87	19.10	4.20	11.23	0.07		0.07	0.30	9.94	2.35	7.60	2.01	0.22	11.51	9.49	2.75	2.23	8.76	7.26
1978_Q3	0.79	4.04	4.99	3.26	-0.16		-0.16	0.30	0.38	1.09	-0.71	0.98	0.22	1.14	0.16	1.75	0.90	-0.61	-0.74
1978_Q4	1.28	5.61	5.27	4.32	-0.39		-0.39	0.30	1.28	-0.57	1.85	2.94	0.22	3.56	0.63	0.08	-0.76	3.48	1.39
1979_Q1	-2.57	0.20	5.52	2.77	-0.62		-0.62	0.29	-2.94	-2.17	-0.77	1.12	0.22	-2.07	-3.19	-1.87	-2.26	-0.21	-0.94
1979_Q2	-0.81	0.38	5.72	1.19	-0.36	1.20	1.20	0.29	-2.99	-3.29	0.30	4.71	0.22	0.70	-4.01	-3.54	-3.22	4.24	-0.79
1979_Q3	-0.08	3.23	5.29	3.30	-0.09	-0.87	-0.87	0.29	-0.04	-3.54	3.50	3.19	0.22	2.46	-0.74	-4.37	-3.31	6.83	2.57
1979_Q4	-0.94	0.42	5.41	1.36	0.18	-0.28	-0.28	0.29	-1.92	-2.83	0.91	0.30	0.21	-1.69	-1.99	-4.00	-2.52	2.31	0.53
1980_Q1	2.27	0.36	5.29	-1.90	0.44	0.24	0.24	0.29	-0.01	-1.33	1.32	-2.24	0.21	-1.77	0.47	-2.43	-1.03	0.66	1.50
1980_Q2	-4.83	-11.64	5.10	-6.81	0.50	1.05	1.05	0.29	-9.08	0.50	-9.58	-0.96	0.20	-9.85	-8.89	-0.14	0.66	-9.71	-9.54
1980_Q3	0.42	-1.08	3.83	-1.50	0.56	0.99	0.99	0.30	-1.85	2.09	-3.95	1.51	0.21	-0.65	-2.17	2.07	2.10	-2.73	-4.26
1980_Q4	4.22	9.25	4.02	5.03	0.62	0.51	0.51	0.30	4.16	2.77	1.39	4.83	0.21	8.00	3.17	3.29	2.64	4.72	0.53
1981_Q1	7.76	9.92	4.62	2.16	0.67	-0.17	-0.17	0.30	7.13	2.17	4.97	5.48	0.20	11.50	6.02	2.87	1.98	8.63	4.03
1981_Q2	-3.81	-4.46	4.22	-0.66	0.82	0.09	0.09	0.30	-5.35	0.38	-5.73	-0.50	0.20	-5.75	-5.25	0.80	0.27	-6.55	-5.52
1981_Q3	5.26	5.42	4.65	0.16	0.97	0.23	0.23	0.30	3.74	-2.10	5.84	2.98	0.20	6.11	3.13	-2.26	-2.06	8.37	5.19
1981_Q4	-5.78	-7.12	4.38	-1.34	1.11	0.86	0.86	0.30	-8.11	-4.29	-3.82	1.39	0.20	-7.00	-8.39	-5.12	-4.08	-1.88	-4.31
1982_Q1	-2.49	-9.08	3.77	-6.59	1.26	1.70	1.70	0.30	-6.82	-5.22	-1.60	2.63	0.20	-4.73	-7.36	-6.53	-4.88	1.80	-2.48
1982_Q2	1.29	2.28	3.52	1.00	1.02	1.00	1.00	0.30	-0.17	-4.22	4.05	1.12	0.20	0.72	-0.39	-5.68	-3.86	6.40	3.47
1982_Q3	0.11	-2.44	2.86	-2.56	0.79	0.99	0.99	0.30	-2.22	-1.64	-0.58	4.11	0.20	1.08	-3.03	-2.59	-1.41	3.67	-1.62
1982_Q4	3.83	0.17	1.95	-3.66	0.55	0.01	0.01	0.31	2.10	1.90	0.20	2.27	0.20	3.92	1.65	1.81	1.92	2.12	-0.27
1983_Q1	3.73	5.83	1.56	2.10	0.32	1.73	1.73	0.31	2.70	5.21	-2.50	2.27	0.20	4.53	2.26	6.04	5.00	-1.51	-2.74
1983_Q2	7.04	11.06	2.26	4.03	0.25	0.33	0.33	0.31	7.36	6.67	0.69	2.55	0.20	9.39	6.84	8.62	6.17	0.77	0.67
1983_Q3	1.63	9.56	2.97	7.93	0.18	0.24	0.24	0.31	3.02	6.51	-3.49	4.57	0.20	6.66	2.09	8.69	5.95	-2.03	-3.86
1983_Q4	3.41	9.76	4.07	6.35	0.12	0.26	0.26	0.32	3.96	4.50	-0.54	1.81	0.21	5.39	3.57	6.33	4.00	-0.94	-0.43
1984_Q1	1.74	9.44	5.46	7.70	0.05	-0.62	-0.62	0.32	2.87	1.38	1.49	4.43	0.21	6.37	1.94	2.49	1.09	3.88	0.85
